,adpcm_dec_main,audiobeam_main,binarysearch_main,bsort_main,cjpeg_transupp_main,cjpeg_wrbmp_main,complex_updates_main,countnegative_main,cover_main,dijkstra_main,epic_main,fft_main,filterbank_main,fir2dim_main,fmref_main,g723_enc_main,gsm_dec_main,gsm_enc_main,h264_dec_main,huff_dec_main,iir_main,insertsort_main,jfdctint_main,lift_main,lms_main,ludcmp_main,matrix1_main,md5_main,minver_main,ndes_main,petrinet_main,pm_main,powerwindow_main,prime_main,sha_main,st_main,statemate_main
fft_main,0.002499,0.002474,0.002477,0,0,0.003207,0.002559,0.002557,0.002436,0,0,0,0,0.002372,0.00453,0,0.00267,0,0.009369,0.00263,0.00236,0.004034,0.003635,0.004095,0.002645,0,0,0.004769,0.003995,0.002727,0,0,0.002692,0.004224,0.004227,0.004697,0.002688
filterbank_main,0.00022,0.000314,0.000229,0.000264,0.000855,0.00022,0.00023,0.000238,0.000248,0.00033,0,0,0.000425,0.000387,0.000276,0.000274,0.000288,0.000304,0.000369,0.000277,0.000397,0.000282,0.000261,0.000265,0.000268,0.000384,0.000368,0.000282,0.000262,0.000268,0.000373,0.000309,0.000282,0.000337,0.000281,0.000302,0.000287
fir2dim_main,0.011344,2693.22612,0.00347,0.002729,1.079219,5.447813,0.002353,0.013319,0.036661,0.252932,0,0.134789,0.012732,0.513227,3.880196,0.033823,0.074559,0.046107,12.751097,1.739912,0.003666,0.04742,0.027439,0.008073,0.007367,1.852614,0.003786,0.46315,1.218154,1.160865,0.015458,111.157815,1.978188,180.450992,13.130631,4.641405,0.025042
fmref_main,0.074419,119699.224484,0.105894,0.5592,87.059615,901.224266,0.040947,0.688744,0.755624,3.749357,0,4.960675,0.329244,3.42785,292.920455,1.196288,4.542997,1.340227,991.686456,83.409935,0.115208,0.647587,0.513694,0.8698,0.290243,75.661663,0.191053,12.002208,48.250004,57.66802,0.103699,3733.928761,101.777933,4180.017075,553.411045,512.642336,1.72138
g723_enc_main,0.004448,720.385749,0.00255,0.001129,1.721683,1.806328,0.001741,0.003977,0.012498,0.001156,0,0,0.008576,0.07719,1.20342,0.001197,0.001434,0.001314,0.001357,0.001794,0.001757,0.001196,0.001815,0.001776,0.001732,0.001827,0.001687,0.001641,0.001892,0.00117,0.001745,0.001456,0.001206,0.001416,0.001433,0.001154,0.001783
gsm_dec_main,0.00929,1248.407053,0.005464,0.007198,3.07253,2.251543,0.004784,0.010114,0.021442,0.147505,0,0.127211,0.008467,0.103949,3.09844,0.023021,0.047134,0.027297,3.901375,0.438167,0.004372,0.018076,0.011826,0.008048,0.006476,1.57286,0.00512,0.176592,0.904237,0.229106,0.009191,16.620165,1.506815,42.782808,9.080473,2.798834,0.018838
gsm_enc_main,0.007024,937.866139,0.004892,0.007161,5.980823,2.496448,0.004435,0.009095,0.015962,0.087875,0,0,0.007119,0.088865,1.434266,0.023388,0.033972,0.017605,3.101976,0.259997,0.004022,0.012539,0.008527,0.010077,0.005349,0.908693,0.004211,0.101869,0.447191,0.208477,0.006501,11.78686,0.625234,35.793474,3.581147,1.412335,0.018904
h264_dec_main,1.516692,0,0.793475,4.751501,1146.781827,2140.122823,0.555585,3.58151,11.794108,107.950665,0,11.420436,9.653883,130.449998,1980.646438,14.142918,33.545685,24.758242,3040.847051,436.719229,0.740916,4.216011,3.768831,3.556395,5.258709,988.109315,1.268311,269.786559,1052.723044,350.24385,3.075793,0,350.70082,272.705858,8895.774145,1111.794477,12.931854
huff_dec_main,0.011723,8198.930552,0.002583,0.068104,21.333642,16.88892,0.007042,0.002426,0.002431,1.064842,0,0.122448,0.002793,0.10958,3.096402,0.264297,0.004203,0.255206,36.123686,2.223674,0.014604,0.110948,0.07147,0.113809,0.025455,7.032438,0.029445,1.319774,6.635074,4.480476,0.055402,290.938986,8.328876,425.283355,72.638655,30.745851,0.128226
iir_main,0.002413,766.749494,0.001102,0.00199,1.887627,1.213901,0.00094,0.004853,0.011655,0.071757,0,0.041873,0.006166,0.055118,0.914266,0.017692,0.020912,0.013033,1.653138,0.173474,0.000945,0.018031,0.009016,0.002809,0.002703,0.764221,0.001346,0.100698,0.580082,0.134328,0.005483,16.315932,0.821867,36.713352,4.632849,1.741547,0.01354
insertsort_main,0.010561,2305.542306,0.004742,0.009495,2.894123,3.685011,0.003686,0.012443,0.032647,0.543948,0,0.281659,0.011708,0.234091,2.533332,0.046628,0.084914,0.064196,8.466716,0.748762,0.005893,0.040698,0.030012,0.00993,0.006311,2.325751,0.003276,0.379907,1.752572,0.519004,0.019895,50.318386,3.560974,110.289404,15.833541,5.32652,0.051793
jfdctint_main,0.016312,55714.260126,0.020105,0.012759,8.817568,544.575153,0.00858,0.095312,0.140234,0.593693,0,0.766203,0.030391,1.908879,11.535307,0.101985,0.171233,0.072404,41.102806,8.736147,0.008109,0.100995,0.11188,0.035395,0.029581,13.793048,0.013809,2.18475,18.724749,8.570093,0.02789,1982.227463,13.924712,2527.044961,167.636687,143.139467,0.10768
lift_main,0.008608,1552.382681,0.003287,0.037892,19.12975,189.953568,0.002598,0.023686,0.076308,1.503515,0,0.206534,0.037181,0.196954,2.612096,0.609367,0.237589,0.322384,7.62919,1.850471,0.001566,0.036205,0.015601,0.168139,0.021428,2.173441,0.031205,1.011534,1.807592,0.892944,0.005601,106.896029,0,119.279963,0,7.112001,0.04994
lms_main,0.000228,0.000255,0.000225,0.000203,0.000292,0.000316,0.000235,0.000227,0.000198,0.000242,0,0.000233,0.000255,0.000326,0.000247,0.00032,0.000286,0.000232,0.000327,0.000218,0.000318,0.000226,0.000328,0.000233,0.000393,0.000286,0.000353,0.000431,0.000372,0.000373,0.000374,0.000409,0.000287,0.000412,0.000286,0.000279,0.000364
ludcmp_main,0.014091,0.009711,0.010604,0.010369,0.019057,0.00966,0.010003,0.010053,0.009896,0.016335,0,0,0.01622,0.010669,0.011102,0.016364,0.016154,0.016235,0.010878,0.015212,0.010429,0.010526,0.015791,0.010959,0.01072,0.010507,0.015403,0.010482,0.010727,0.010472,0.010707,0.011062,0.01547,0.010986,0.015725,0.015945,0.010769
matrix1_main,0.000148,0.000208,0.000147,0.000154,0.000266,0.000161,0.000163,0.000158,0.000143,0.000234,0,0,0.000215,0.000226,0.000167,0.000214,0.000161,0.00016,0.000178,0.000159,0.000223,0.000174,0.000232,0.00023,0.000224,0.000208,0.000261,0.000196,0.000198,0.000192,0.00019,0,0.000209,0.000244,0.000206,0.000281,0.000269
md5_main,0.018497,1729.55671,0.006643,0.060962,4.089841,0.006538,0.007583,0.019014,0.027291,0.238434,0,0.431129,0.051051,0.007463,3.150302,0.160772,0.007785,0.060301,17.917934,1.123416,0.009239,0.006619,0.008394,0.036156,0.043728,1.402448,0.012049,0.455709,0.708422,0.309093,0.014109,24.33331,2.212902,44.477948,14.142433,3.197415,0.039292
minver_main,0.204839,0,0.174259,0.16848,451.563582,377.140284,0.100551,0.912412,1.767884,4.048796,0,16.217096,0.418582,13.751795,221.780424,1.761226,4.646105,1.013311,754.457077,58.832209,0.073263,1.513061,0.310579,0.415681,0.263448,139.663744,0.081295,32.814931,84.153844,47.531324,0.384507,3789.983323,72.227215,13201.155371,714.087757,500.216831,1.161681
ndes_main,0.228407,0,0.097899,0.162632,751.808388,454.887573,0.089457,0.725928,1.216358,5.823301,0,6.584977,0.329486,18.207996,123.582126,0.500822,1.468494,0.933077,942.130043,73.246657,0.032622,0.544606,1.258055,0.12229,0.399619,63.980902,0.048248,16.76863,42.693763,43.12601,0.306818,23952.887651,135.135291,26202.806332,1041.522181,868.028627,0.742079
petrinet_main,0.000667,0.0007,0.001606,0.000644,0.001142,0.000642,0.000611,0.000782,0.000617,0.000694,0,0,0.00103,0.001007,0.000684,0.001019,0.000724,0.000692,0.000692,0.00102,0.001013,0.001019,0.000689,0.000833,0.001031,0.00071,0.000646,0.000684,0.000941,0.001037,0.000697,0.000754,0.000925,0.000779,0.000721,0.000741,0.00071
pm_main,1.760975,0,1.100643,1.125968,0,1620.244106,0.241917,1.0269,8.081913,48.6084,0,0,3.210419,216.159261,765.987753,8.768409,21.179892,10.879292,0,118.43203,0.27521,4.226271,3.777207,4.470219,1.000426,674.136922,0,135.732454,369.967567,600.218405,2.338955,23116.288382,409.279176,0,1760.55064,1175.997151,10.441425
powerwindow_main,0.019307,13769.953713,0.01418,1.1592,0,53.698123,0.012782,0.071866,0.208294,2.698089,0,1.200814,0.290323,0.437326,27.908349,1.047877,2.148484,0.61259,35.409738,9.729277,0.013631,0.146095,0.054499,0,0.092738,15.881498,0.061555,3.584787,3.825076,2.969838,0.025305,570.588673,49.690902,354.879126,0,18.632931,0.292974
prime_main,30.634844,0,10.908603,23.821218,7639.942697,66605.218354,8.777086,75.175894,163.285103,1483.423697,0,933.017233,49.419621,1354.41029,54978.001199,119.773488,239.794313,265.003743,979.570528,13270.078007,9.28296,91.506895,55.495632,22.078853,20.41974,26274.15913,7.308878,2347.431332,15391.300673,10311.937609,14.548468,0,12379.294149,5653.188575,7145.466347,21605.351862,152.547477
sha_main,0.033447,15640.79344,0.012767,0.0215,4.72261,7.991491,0.010412,0.027991,0.172867,0.882415,0,1.04612,0.091141,0.304688,21.695545,0.039514,0.402653,0.153952,37.420419,3.041017,0.010003,0.075391,0.007575,0,0.044525,9.092296,0.027991,3.352106,1.652193,0.882128,0.040063,68.403897,0,3.308274,8.818854,6.384446,0
st_main,0.311233,0,0.191395,0.882693,1584.357909,325.790026,0.333065,1.432278,2.266424,20.126046,0,31.065368,0.308729,28.537725,355.530868,2.567145,3.575645,5.498318,3968.981045,69.606052,0.070739,1.841998,2.258601,0.71657,0.240322,380.881639,0.210246,21.298346,195.85366,64.008507,0.532889,27747.664242,153.300475,557.329587,1166.53126,3972.512387,3.993453
statemate_main,0.008779,4700.87388,0.00509,0.021676,7.185174,8.971082,0.004427,0.02422,0.32711,0.286702,0,0.131291,0.03461,0.230336,7.93226,0.097169,0.083704,0.125166,26.608104,1.679334,0.007989,0.088943,0.018526,0.01458,0.074201,1.381322,0.011589,0.340417,2.07602,0.861825,0.007847,336.3064,2.719434,442.650744,0,16.169478,0.081719
