,adpcm_dec_main,audiobeam_main,binarysearch_main,bsort_main,cjpeg_transupp_main,cjpeg_wrbmp_main,complex_updates_main,countnegative_main,cover_main,dijkstra_main,epic_main,fft_main,filterbank_main,fir2dim_main,fmref_main,g723_enc_main,gsm_dec_main,gsm_enc_main,h264_dec_main,huff_dec_main,iir_main,insertsort_main,jfdctint_main,lift_main,lms_main,ludcmp_main,matrix1_main,md5_main,minver_main,ndes_main,petrinet_main,pm_main,powerwindow_main,prime_main,sha_main,st_main,statemate_main
epic_main,18847.727839,0,0,0,0,0,32939.028272999996,30949.519547999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fft_main,61.594154,124.03491,20.837366000000003,0,0,33.998128,22.860768999999998,26.099677,53.665071,0,0,0,0,30.277258000000003,455.44133100000005,0,308.720622,0,538.494246,81.892834,9.974966,27.937022,24.965491999999998,51.266569000000004,31.337217000000003,0,0,753.605724,67.165965,69.93583100000001,0,0,225.80882799999998,32.106908,161.62419699999998,54.555961,113.524224
filterbank_main,62.997057999999996,128.223347,24.431767,25.299041000000003,402.90015300000005,37.684184,27.294448,26.815939999999998,57.240233,90.913259,0,0,38.034079,48.752669,286.55077,155.90034200000002,304.30765,998.567839,457.078739,81.2504,31.644593999999998,26.886363,30.312233999999997,58.81378,33.118656,58.971137,30.104502000000004,535.230763,84.393074,94.185629,90.950218,160.658175,267.679369,41.055113,166.50034,61.834225,109.16850199999999
fir2dim_main,76.049148,2832.989448,34.813492,35.887594,418.467582,51.253314,34.772375,39.571947,65.872546,55.802367000000004,0,30.409675000000004,48.765013999999994,90.050185,322.658508,140.403492,348.920818,1137.085376,479.96859,95.665683,41.712398,45.809808,50.133132,68.560477,54.572814,74.732071,43.498059,503.721722,98.802672,89.928466,97.583307,279.749317,272.64783,235.71857200000002,180.577213,68.94841299999999,132.278377
fmref_main,276.52952200000004,120042.450601,231.16052800000003,228.765975,432.575304,1850.5221020000001,227.72784199999998,225.430527,270.866335,304.54763399999996,0,460.397476,286.87973800000003,322.20616199999995,797.5571170000001,383.045185,671.266665,1404.220057,1867.4695900000002,410.57912300000004,254.02183899999997,257.289383,245.712863,344.049582,267.68057300000004,398.25816299999997,251.28712400000003,832.997862,338.07022,363.608289,309.265266,4147.005018,640.31021,4432.885225,973.272471,813.2317969999999,356.317678
g723_enc_main,146.78760499999999,938.3573130000001,106.579928,106.74915700000001,577.315499,121.67716499999999,106.932874,102.185836,138.67176,129.147045,0,0,155.908644,140.44685900000002,383.052317,204.99485099999998,431.49561,1258.1506339999999,562.70077,192.08449000000002,139.115096,120.86486,124.852649,156.635307,147.747856,160.419636,128.01105,598.169561,169.20752399999998,198.131431,184.83781199999999,282.474738,393.348502,136.646904,264.33896500000003,152.211825,238.437663
gsm_dec_main,334.527732,1658.670864,264.79893,270.902643,884.157545,1399.887656,264.296896,269.71756799999997,306.64468299999993,312.491809,0,308.845163,304.315829,348.950208,669.822108,431.517197,580.143626,1208.533339,852.095883,376.922955,312.309481,324.94765800000005,308.11930499999994,366.2074329999999,320.287704,355.147343,314.04000999999994,870.669709,376.51222400000006,390.89279700000003,397.250112,500.65333499999997,580.0472560000001,379.544628,482.766709,362.97398799999996,433.204694
gsm_enc_main,2532.4891470000002,3582.092046,2472.400845,2454.7254949999997,2046.575698,2467.773069,833.8535919999999,852.359972,885.9458249999999,993.4315770000001,0,0,998.574654,1137.128134,1404.314096,1258.172708,1208.540014,2075.174405,1592.7485729999999,1195.059126,971.647975,1066.056439,1090.126013,1137.3249059999998,1009.646701,1091.485539,1056.286454,1677.117121,1133.682354,1164.5772209999998,1182.6921780000002,1320.218212,1383.6260040000002,1113.156113,983.6452419999999,1116.230669,1260.957104
h264_dec_main,501.011447,0,454.642851,364.099392,1602.0279650000002,4055.176077,380.212224,454.895181,428.596011,509.60917500000005,0,549.905313,466.732253,597.667491,2856.429572,576.8423310000001,881.740193,1614.4048389999998,3761.788105,998.6219229999999,388.298492,420.713284,434.480136,508.73083700000007,421.464332,1408.911796,495.15775799999994,1256.950166,1491.2069310000002,789.404544,510.115282,0,1064.054191,501.28558499999997,9517.215994,1585.563991,553.9291509999999
huff_dec_main,103.454623,8372.979301,61.626441,63.585642,470.37151300000005,92.64917100000001,63.04779,64.652785,94.880183,84.78633,0,82.012652,81.252916,94.03535099999999,330.26559,192.346993,376.488991,1195.054335,598.02638,112.14252400000001,77.244722,74.488465,84.14407299999999,124.615937,79.070226,113.03258600000001,79.650918,579.825244,129.069311,151.435223,135.631397,433.197819,306.294577,501.86013699999995,269.501559,138.987111,165.608853
iir_main,51.54575,880.15429,13.321097000000002,14.471412,344.408661,27.499944999999997,16.483272999999997,16.393749,45.92438799999999,30.558676,0,10.014479,31.650363,41.76385,254.820897,139.131031,312.32602099999997,971.656986,389.210714,77.403592,16.189707,18.150125000000003,21.478955,48.509032,24.143844,47.367531,20.90285,456.427168,72.121074,64.711505,73.878665,172.884252,261.69932900000003,65.12833,148.98457299999998,55.33172,102.138298
insertsort_main,52.686321,2420.8109099999997,13.722345,14.548656000000001,164.694635,30.009636,15.610893,15.827414999999998,45.479028,39.54983,0,28.214647,26.897789000000003,45.996479,259.175128,120.910292,325.014496,1066.108096,424.96398899999997,75.126279,18.137987000000003,15.847804,23.600993,45.208318000000006,25.625908000000003,46.039148,18.200045,435.35845300000005,64.320094,58.486419,74.059034,200.97099099999997,257.509283,144.960859,149.502073,45.034501,108.330928
jfdctint_main,53.497915,55807.200321,16.321578,18.345879000000004,172.766994,574.07536,18.864877,18.811956000000002,49.232107,35.268893,0,25.72806,30.342363999999996,52.014572,256.73447600000003,124.952819,308.278712,1090.18989,471.814111,92.80875,21.478048,23.671976,30.487984,62.874849,31.434849999999997,77.399978,22.298358,476.000996,89.263244,78.496275,86.062065,2147.97817,246.305909,2565.9785819999997,323.69954800000005,186.112117,113.03500500000001
lift_main,78.999098,1705.467186,39.072866,40.264427999999995,451.446151,511.34727000000004,40.983366000000004,43.612901,72.418508,63.895644,0,51.469008,58.850696,68.749358,345.791878,157.242898,366.43697399999996,1137.637213,512.803632,126.352599,48.507788999999995,45.234593000000004,62.85505499999999,61.184658999999996,62.235777,82.21831999999999,55.318234000000004,521.869492,105.715847,94.303871,110.154234,394.454952,0,179.958859,0,77.222895,89.398342
lms_main,56.230508,120.701855,17.986125,19.443683,354.365628,291.25615999999997,19.705756,21.997021,50.740545999999995,38.95236,0,31.334805000000003,33.118643,54.565773,267.390577,147.746444,320.281514,1009.641584,416.20595000000003,79.044989,24.141459,25.619823,31.405597,62.214582,34.647921,51.58065499999999,28.773813,554.3999530000001,68.32334399999999,67.886328,85.559689,161.882373,267.881428,41.525878,167.82577899999998,48.293888,109.44366
ludcmp_main,79.749236,144.999763,39.038272,40.325539,437.008629,547.7066,41.628240999999996,43.069612,72.905055,60.465154999999996,0,0,58.98697299999999,72.89012600000001,322.607602,160.434173,353.59063699999996,1090.593081,420.813359,106.01536,46.613739,43.723923,63.622721,80.055838,51.591089,64.58803499999999,50.883958,503.88299800000004,107.61540199999999,96.620604,116.18657499999999,174.098141,316.44027600000004,53.574932000000004,190.438969,69.804213,140.206159
matrix1_main,52.246919999999996,114.584978,13.717184,15.168273000000001,376.089313,27.598119,16.245406000000003,16.365402000000003,46.435807,33.447168000000005,0,0,30.104349,43.494499,251.096238,128.009577,314.035051,1056.282403,493.88962499999997,79.621632,20.901727,18.196942999999997,22.284781000000002,55.287259000000006,28.773684,50.868763,23.367147000000003,496.60594199999997,60.246075,64.91217900000001,73.81236200000001,0,228.783866,28.688888,135.977286,49.173561,141.54454900000002
md5_main,458.789594,3013.575725,432.40691200000003,388.16980400000006,1179.095366,403.82409999999993,410.90391400000004,393.180059,457.11026799999996,469.743572,0,754.032084,535.281532,503.26603499999993,824.1459560000001,598.328692,870.500902,1677.0755530000001,1005.081541,579.6288860000001,456.33570899999995,434.98516500000005,473.82464000000004,520.894114,554.44325,505.274964,496.617795,883.295953,549.24811,544.4950650000001,526.033455,696.791706,803.111463,520.53407,648.928453,511.350984,602.259125
minver_main,93.59558799999999,0,51.418949000000005,55.148531000000006,920.428381,445.322973,51.995103,53.955617000000004,89.32465400000001,78.4149,0,83.37906600000001,84.811394,111.33631299999999,511.60064,170.966858,380.254092,1134.248474,1192.940964,181.266446,71.614255,64.08058299999999,70.849074,104.323936,68.58641999999999,247.268419,60.327172,581.354619,179.69657,163.739692,125.83980600000001,4006.467541,346.089375,13278.860401000002,903.9827290000001,598.915468,175.730456
ndes_main,91.555071,0,53.427802,52.636512,1213.071426,520.485554,53.781641,54.023246,87.35970499999999,78.50024400000001,0,76.518081,94.514847,106.97559700000001,429.522395,198.631083,392.13218500000005,1165.301821,1381.290737,220.201404,64.609799,58.512021000000004,71.184237,93.53321700000001,68.285574,160.59103399999998,64.96023500000001,560.954602,158.902131,128.34738199999998,126.829963,24202.252178,447.971603,26276.691594,1236.5730250000001,974.203296,165.955374
petrinet_main,100.40151700000001,174.78427499999998,57.670079,59.715734000000005,435.41096699999997,73.051789,62.956992,62.748474,93.35741099999998,82.806467,0,0,90.950875,97.56885600000001,309.162251,184.837086,397.241645,1182.686369,507.04018099999996,135.577015,73.874195,74.04015799999999,86.034864,110.149466,85.560346,116.17657799999999,73.81281800000001,526.02003,125.45624000000001,126.524182,91.056711,248.68592999999998,294.21977499999997,89.887176,204.53801399999998,93.07226499999999,177.02989300000002
pm_main,177.674616,0,245.781713,132.420243,0,1761.6654270000001,127.588603,128.175408,173.051,217.89558,0,0,163.86828500000001,384.750763,1179.06401,291.241691,505.21306200000004,1319.3106440000001,0,260.69086300000004,156.84353,154.878876,169.527914,292.029142,162.88239000000002,848.224001,0,808.19085,586.451785,849.5829319999999,251.024131,23401.659099999997,1002.217458,0,2083.233651,1363.775873,347.571818
powerwindow_main,249.508789,14116.045589000001,207.298595,211.037563,0,271.199692,205.43584299999998,204.785642,244.095438,259.28391600000003,0,227.00695,267.96941000000004,271.10696800000005,566.440626,394.395173,580.6889249999999,1383.61336,748.763109,307.694978,260.891093,254.094404,232.435696,0,267.973879,332.306304,228.845212,804.483348,277.687236,315.80615,294.244155,1163.526955,537.517964,622.1697539999999,0,322.430245,272.582673
prime_main,90.501916,0,32.509719,47.589718999999995,7822.627477000001,66646.560472,32.15053,99.55118300000001,218.04960899999998,1525.501119,0,965.1199170000001,90.474397,1409.67787,55230.869349,256.418976,576.556133,1342.3663820000002,1208.150255,13346.654789,37.69793799999999,126.17835,94.42925299999999,82.75774899999999,61.945206000000006,26327.723076000002,35.997522000000004,2823.487454,15469.005703,10385.822871,104.434865,0,12646.584776999998,5671.425701,7251.973402999999,21652.118179999998,287.901739
sha_main,162.212882,15878.986600999999,121.27181,122.54961,391.033095,141.746875,115.461646,117.02017099999999,150.094295,149.408811,0,162.66609,166.5912,167.75127,441.556971,264.377046,474.088889,980.218047,658.862268,199.90392100000003,144.361727,133.743923,156.07043600000003,0,167.870018,199.51554,136.005071,638.138126,191.547165,195.93297199999998,204.57735599999998,391.086908,0,109.81532999999999,246.944794,179.768043,0
st_main,70.106656,0,30.657470000000004,34.193360999999996,1966.123458,374.31450900000004,35.905521,32.706742999999996,67.953048,72.36752200000001,0,85.61663200000001,62.142652,92.84473299999999,656.1203290000001,154.777816,363.750799,1120.316652,4442.750559,177.847312,53.660911999999996,41.549979,45.231251,70.82746399999999,48.533931,450.669907,49.383526,529.451915,294.55229699999995,170.183176,93.604413,27935.442963999998,457.09778900000003,604.0959049999999,1339.914857,4062.3100370000006,212.21839699999998
statemate_main,131.61,4923.2378659999995,88.810417,88.863968,241.87175100000002,111.399637,85.495339,86.54787,134.779428,120.75812300000001,0,113.652827,109.20282499999999,132.483671,362.52855800000003,238.533049,433.26956,1261.063366,567.605401,167.159961,102.132747,108.368078,112.945851,89.362982,109.51749699999999,141.576712,141.555869,602.56025,176.644795,166.07512,177.03703000000002,673.436793,275.009133,578.005006,0,224.394422,216.569075
