,adpcm_dec,audiobeam,binarysearch,bsort,cjpeg_transupp,cjpeg_wrbmp,complex_updates,countnegative,cover,dijkstra,epic,fft,filterbank,fir2dim,fmref,g723_enc,gsm_dec,gsm_enc,h264_dec,huff_dec,iir,insertsort,jfdctint,lift,lms,ludcmp,matrix1,md5,minver,ndes,petrinet,pm,powerwindow,prime,sha,st,statemate
lift,108900,599900,5800,510000,2299900,400600,47300,315300,1087000,4400100,0,500100,600200,158600,500000,4466700,1476000,3300200,1100000,800100,3300,50300,61400,2400100,783800,2380100,1108500,2400100,76900,1171100,29500,2400100,0,501300,0,209000,1122900
lms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ludcmp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
matrix1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
md5,2700,512000,0,256000,256000,0,200,2700,53300,256000,0,2700,256000,0,256000,281600,0,256000,28300,28300,0,0,0,256000,106200,256000,28300,256000,2700,67700,2400,256000,256000,7200,256000,104500,136200
minver,12700,0,4500,13300,25700,14500,9200,19100,29300,17900,0,27000,27500,12500,16500,15900,22700,26700,31300,27800,1800,2500,11500,26000,20700,20000,18400,25500,24200,28300,21500,28300,28300,23900,28300,17500,28300
ndes,130900,0,42800,182800,209600,230600,143500,170900,218700,207200,0,211200,152200,125800,272600,131100,147500,173300,233100,223000,3200,8400,83500,159400,543700,140100,148900,277900,137500,256300,160300,256300,256300,174200,256300,96800,256300
petrinet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pm,19800,0,400,6400,0,154800,500,200,54100,384900,0,0,385000,3200,384700,396800,385400,396800,0,384600,100,500,2500,390700,81400,396900,0,385000,4500,109300,10600,396500,396500,0,396500,1100,213500
powerwindow,228400,18748000,16400,23629900,0,7346700,186000,929900,3330000,24705100,0,13868200,4614600,611200,13671500,21168800,14940300,20311200,16601200,14940400,28900,91800,260600,0,4020100,22361600,4092600,16306800,483400,4715700,182400,19041100,25486700,587600,0,641000,7787600
prime,123200,0,15900,71600,99500,94400,60900,64700,119800,141200,0,123200,99200,75000,145800,132200,115500,125900,216100,126200,40700,32300,66900,113500,113800,135000,109300,110500,99300,132200,101900,0,126900,53300,202800,60300,152100
sha,200,64100,0,0,100,200,200,0,53400,200,0,64100,49900,200,64200,100,200,200,64200,64100,0,0,0,0,64100,200,64000,64100,100,200,200,64000,0,2000,100,100,100
st,57800,0,2300,15700,65500,59200,36200,21900,72500,67500,0,57800,52200,32700,57700,67500,65300,67500,58100,58000,400,16100,31000,58000,65500,67500,48500,65500,61300,66900,67100,72700,58000,29800,58000,5600,65400
statemate,78500,420000,7300,240300,640000,322200,53700,151800,632300,430100,0,169900,391600,109500,360000,360000,220000,650000,310000,320200,7300,13600,52800,290000,595400,140100,269200,260000,118600,370000,37300,470200,309900,161700,300300,182700,379900
