,adpcm_dec_main,audiobeam_main,binarysearch_main,bsort_main,cjpeg_transupp_main,cjpeg_wrbmp_main,complex_updates_main,countnegative_main,cover_main,dijkstra_main,epic_main,fft_main,filterbank_main,fir2dim_main,fmref_main,g723_enc_main,gsm_dec_main,gsm_enc_main,h264_dec_main,huff_dec_main,iir_main,insertsort_main,jfdctint_main,lift_main,lms_main,ludcmp_main,matrix1_main,md5_main,minver_main,ndes_main,petrinet_main,pm_main,powerwindow_main,prime_main,rijndael_dec_main,sha_main,st_main,statemate_main
iir_main,91.36144100000001,768.418459,21.958975000000002,27.597186,207.097964,53.249835999999995,29.599854,29.766385999999997,76.69923899999999,50.697927,0,0,32.08629,49.720271999999994,286.16435,136.484124,350.771519,1069.7394,380.516528,75.76611700000001,6.007043,20.440357,23.417427,47.664536,25.716062,46.058657,22.067847,249.530269,67.961777,59.828768999999994,73.675409,603.9761920000001,255.745253,66.100106,0,181.858943,56.425751999999996,120.21487200000001
insertsort_main,100.97410500000001,3227.749496,22.924549,23.287134,0,74.292512,30.383836,26.713889,94.928407,59.765276,0,27.010677,31.996944,46.365590000000005,267.5723,152.294019,356.018461,1049.6529600000001,505.382976,76.753537,20.463065999999998,7.429171,22.519419,47.196983,29.549635,45.938745,22.458472,232.326596,70.503473,62.57180700000001,71.155697,257.380163,264.767901,197.21459000000002,0,183.86028900000002,54.415354,110.229929
jfdctint_main,79.96812299999999,1259.33261,22.887441,27.788754,0,66.69372899999999,30.816682999999998,35.300488,107.387546,70.792135,0,33.763723,38.979677,46.596231,304.376104,140.240249,348.854829,1147.719158,515.5154279999999,77.004423,23.405867,22.404086999999997,12.745583,46.504546,31.061167,51.483229,24.3206,229.330851,76.214393,70.892662,78.57896099999999,209.705918,236.4506,91.466675,0,190.626943,48.607012,133.490651
lift_main,159.65294699999998,1956.5270189999999,64.531511,56.654619,237.437097,82.18124900000001,75.830252,66.320478,139.74922099999998,96.721395,0,52.029921,62.382596,70.7809,337.691726,167.098789,376.51149899999996,1092.497997,588.7732120000001,111.31268299999999,47.610338999999996,46.781957,46.393449,62.282776,55.891130000000004,79.990929,48.811172,266.494607,107.10989799999999,95.93812,107.56891300000001,262.647069,0,158.128906,0,0,73.057972,89.649479
lms_main,77.400884,796.2136680000001,28.273611000000002,33.180574,214.675026,64.63247799999999,33.268907999999996,38.061496,75.42553,60.312755,0,33.05353100000001,38.423941,48.586678,330.910392,146.39511299999998,362.712995,1104.4161119999999,422.76840899999996,78.267545,25.707002,29.458349999999996,31.063088999999998,55.941919,23.325415,53.441545000000005,16.870288,246.998804,82.54403400000001,70.718095,83.318296,196.856631,278.59258,64.676973,0,195.592642,48.35817900000001,111.44824599999998
ludcmp_main,144.39085599999999,5517.868685,53.01775,53.645568,245.51626800000003,118.633883,64.797737,65.48466200000001,205.5988,85.279251,0,0,60.399313,64.83686,387.072916,179.09988900000002,342.89524300000005,1071.98817,592.763023,128.312057,45.949225,45.347328000000005,51.538462,80.517145,53.415611999999996,85.27550299999999,48.046451000000005,692.665509,120.11102600000001,101.59781799999999,113.418538,316.430115,322.606932,335.503553,0,235.76070699999997,87.168809,140.59923500000002
matrix1_main,73.690265,448.508338,29.428924000000002,23.725803,212.264859,40.307893,29.228053,30.036248999999998,75.172751,55.553314,0,0,32.665933,49.936705,290.021752,138.075411,322.03261599999996,1108.768967,503.391433,83.454286,22.064230000000002,22.419652,24.321457000000002,48.839759,16.870007,48.042444,20.982806000000004,235.433374,64.791537,61.497958999999994,68.547957,0,267.235586,46.142903000000004,0,168.11508500000002,40.486091,114.70370600000001
md5_main,727.487783,21584.958604999996,601.1185250000001,576.806512,1051.192937,945.0543369999999,731.191188,625.9071650000001,860.278485,731.524502,0,543.772216,243.98927600000002,253.87216099999998,1298.303911,434.61816600000003,1242.676006,1381.238739,1130.118698,306.586957,248.747816,226.43750999999997,228.259005,266.356072,246.057943,672.32229,235.018317,1162.410132,792.0678859999999,307.498477,329.22519800000003,1673.2563819999998,575.487384,1959.9958729999998,0,905.3272390000001,836.6514070000001,361.071564
minver_main,170.365506,34050.326847,92.413783,91.691416,339.344042,505.63473600000003,99.662692,74.125921,207.277913,122.782061,0,0,101.041061,111.11198999999999,537.022094,327.174552,521.1332520000001,1698.448084,531.953786,185.28281800000002,68.326159,69.653785,77.83354299999999,114.71141399999999,83.744742,132.172591,65.361372,1035.6686089999998,288.724294,186.617961,149.837737,1390.7126819999999,481.68327300000004,230.603676,0,500.59651099999996,326.51865200000003,220.183523
ndes_main,160.05426599999998,12950.22156,105.09698999999999,93.16326700000002,284.013505,234.777933,85.696297,92.06700000000001,175.98443400000002,142.46841899999998,0,82.94618799999999,71.095756,91.38850099999999,374.39839099999995,191.86733900000002,420.233702,1155.891709,494.92823799999996,131.46841,59.725962,61.298064,71.00095,97.100073,70.76329,101.47562099999999,61.521013999999994,327.850703,163.20094,124.40229199999999,132.469824,585.72087,342.22759199999996,886.610158,0,313.69694300000003,148.198185,169.992957
